,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,14.11,0.77,14.07,15.42,15.62,40.01,36.3,11.58,13.89,13.42,12.66,12.15,38.21,10.88,12.78,13.0,12.95,12.18,39.82,10.67,13.41,12.13,12.38,11.59,41.41,10.77,12.28,12.25,11.67,11.62,44.61,7.42,12.22,12.26,12.12,11.37,26.15,36.1,14.13,7.63,8.39,7.6,23.83,11.92,36.71,13.32,7.03,7.19,22.83,11.58,12.19,35.05,12.02,6.33,21.65,10.57,11.18,11.38,33.69,11.53,21.83,10.54,11.11,11.43,33.79,11.3,20.72,10.65,11.27,11.27,34.7,11.39,21.66,10.37,11.26,11.96,33.8,10.95
1,13.72,0.83,15.0,15.03,15.34,40.08,36.85,11.78,13.71,13.3,12.34,12.02,37.61,10.95,13.76,13.17,13.11,11.4,40.04,10.25,12.99,12.77,12.61,11.34,42.41,10.68,12.54,11.78,11.67,10.92,44.22,7.8,11.72,12.46,11.76,12.04,26.75,35.74,14.07,7.86,7.93,7.65,24.49,11.69,35.95,13.2,7.13,7.54,23.81,12.01,11.99,33.76,12.26,6.17,20.95,10.12,11.24,11.6,34.87,11.22,20.88,10.48,11.3,11.59,34.74,11.01,22.02,10.49,11.04,11.13,33.66,11.66,20.71,10.28,11.65,11.05,35.27,11.04
2,14.28,0.79,14.59,14.85,15.34,40.15,35.7,11.17,13.78,13.7,12.79,12.86,37.95,11.04,13.27,13.1,12.02,12.62,40.38,10.57,13.16,12.48,12.17,11.24,41.47,10.8,12.6,12.03,12.07,11.03,44.72,6.82,12.37,12.54,12.1,11.45,26.14,36.19,13.69,7.99,8.45,7.54,24.61,12.14,35.53,13.72,6.94,7.06,22.46,11.38,12.31,35.4,12.35,6.1,21.31,10.53,11.32,11.8,34.59,10.45,21.42,10.91,11.45,11.26,33.84,11.12,21.56,10.57,10.95,11.08,34.5,11.34,21.34,10.97,11.26,11.15,33.43,11.85
3,13.96,0.6,14.96,15.47,15.43,39.58,35.83,10.98,14.08,13.01,13.32,12.78,38.37,10.84,13.15,13.37,12.46,11.81,40.51,10.23,13.66,12.65,11.73,11.22,42.13,11.07,12.63,11.91,11.57,10.69,45.1,7.55,12.76,12.29,11.48,10.82,26.45,36.03,14.37,7.47,8.03,7.65,24.17,12.14,36.43,13.27,7.18,6.81,22.91,10.88,11.67,36.43,11.51,6.6,21.52,10.66,11.32,10.93,34.25,11.32,22.07,10.05,11.61,11.01,34.42,10.84,21.53,11.2,11.66,11.0,34.04,10.57,21.06,10.55,11.2,11.31,34.74,11.14
4,13.95,0.62,15.3,15.59,15.31,39.23,36.77,10.75,13.81,13.19,13.24,12.24,38.34,11.76,12.3,12.97,13.03,11.6,40.06,11.0,13.3,12.43,11.77,11.44,41.57,10.62,12.65,12.4,11.88,10.88,44.71,7.19,12.17,12.99,12.11,10.83,25.81,36.03,14.04,8.47,7.88,7.77,25.21,11.65,36.28,12.77,7.21,6.88,22.1,11.63,12.7,34.59,12.75,6.23,21.21,10.42,11.37,11.28,34.62,11.1,21.55,10.31,11.94,10.99,34.58,10.63,20.93,10.77,11.33,11.2,33.66,12.11,21.23,10.57,12.0,11.29,33.52,11.39
5,13.43,0.73,15.13,15.15,15.49,40.07,36.15,11.88,13.41,14.09,12.61,11.86,38.8,10.54,12.69,13.23,12.64,12.1,40.11,10.83,12.49,13.18,12.2,11.19,41.88,10.37,12.91,12.34,11.15,11.35,44.54,7.26,12.77,12.27,12.15,11.01,25.51,36.38,14.53,7.89,7.89,7.8,23.65,11.91,36.51,13.29,7.02,7.62,22.89,11.37,12.37,34.86,12.59,5.92,21.57,10.48,11.93,11.18,33.53,11.31,21.69,10.61,10.98,11.11,34.74,10.87,21.73,10.65,11.17,11.54,33.5,11.41,21.1,10.92,10.79,11.27,34.73,11.19
6,13.86,0.6,15.3,14.88,15.43,39.93,35.67,11.35,13.52,13.56,13.61,12.29,37.56,11.25,13.44,12.92,12.78,12.05,40.43,10.65,13.06,12.05,12.12,11.69,42.6,11.12,12.82,11.94,11.09,10.43,44.68,7.22,12.15,12.59,11.92,11.44,26.33,36.41,13.68,7.44,8.29,7.85,24.17,11.87,36.18,13.58,7.23,6.97,23.34,11.45,12.3,34.93,11.41,6.57,20.69,10.27,11.24,11.35,35.18,11.27,21.71,10.56,11.27,11.23,33.96,11.27,21.47,10.31,11.03,11.19,34.43,11.57,21.35,10.32,12.03,11.51,33.55,11.24
7,13.7,0.65,15.1,15.4,15.31,39.84,35.49,10.94,14.14,13.71,13.45,12.27,37.41,11.89,13.48,12.84,12.45,11.93,40.07,10.5,13.23,12.65,12.29,11.26,42.05,10.73,12.4,12.44,11.31,11.07,44.56,7.63,12.71,12.49,11.5,11.11,26.18,36.32,13.83,7.89,7.92,7.86,24.28,11.74,36.27,13.52,7.52,6.67,23.12,10.82,12.16,35.02,12.7,6.18,20.87,10.57,11.74,11.28,34.18,11.36,21.48,10.24,11.38,11.03,34.35,11.52,21.48,10.48,11.23,10.61,34.86,11.34,21.13,10.17,10.96,11.87,34.69,11.18
8,14.04,0.72,15.27,15.51,14.74,39.72,35.79,10.97,14.1,13.44,12.86,12.84,37.78,11.42,13.72,12.9,12.54,11.64,39.24,10.42,13.61,12.89,12.26,11.58,42.35,10.37,12.31,12.48,11.33,11.16,44.09,7.85,12.42,12.02,11.97,11.65,26.23,36.58,13.67,7.97,8.45,7.1,24.25,12.61,36.22,12.81,7.35,6.76,23.44,11.41,11.8,34.98,12.0,6.37,21.69,10.4,11.19,11.78,34.31,10.63,21.25,10.21,11.58,11.03,34.25,11.68,20.38,10.76,11.74,12.01,33.59,11.52,21.69,10.37,11.01,11.27,34.56,11.1
9,13.83,0.72,14.94,15.18,15.15,40.18,35.69,12.47,13.78,13.07,12.58,12.41,38.43,10.79,13.77,13.02,11.97,12.02,40.18,10.71,12.8,12.69,11.89,11.73,42.37,10.89,13.01,11.58,11.31,10.84,44.18,7.5,12.44,12.47,12.04,11.37,26.53,35.48,14.36,8.0,7.83,7.8,24.93,11.96,36.13,12.82,6.8,7.36,23.19,11.47,12.26,34.46,12.48,6.14,21.87,9.86,11.52,11.5,34.32,10.93,21.53,11.27,11.43,10.86,34.01,10.9,21.37,10.7,10.67,11.1,34.81,11.35,21.28,10.26,11.2,11.01,34.71,11.54
